"symptom","rti","year","model","est","lwr","upr","region"
"Vaginal discharge","BV",1984,"Lower and moderate",0.526050749285862,0.256831224732122,0.780930802745292,"Sub-Saharan Africa"
"Vaginal discharge","BV",1984,"Lower only",0.325639352815738,0.144674150004926,0.579579979721948,"Sub-Saharan Africa"
"Vaginal discharge","BV",1985,"Lower, moderate, and higher",0.462252031179711,0.188229423782053,0.761150370819977,"Sub-Saharan Africa"
"Vaginal discharge","BV",1985,"Lower and moderate",0.523255805443065,0.263217982618192,0.771268958786602,"Sub-Saharan Africa"
"Vaginal discharge","BV",1985,"Lower only",0.328823882107161,0.153017405008425,0.570553535030993,"Sub-Saharan Africa"
"Vaginal discharge","BV",1986,"Lower, moderate, and higher",0.463517822635904,0.19706968847599,0.752563892104598,"Sub-Saharan Africa"
"Vaginal discharge","BV",1986,"Lower and moderate",0.520459404348933,0.269593430288571,0.76141501574813,"Sub-Saharan Africa"
"Vaginal discharge","BV",1986,"Lower only",0.332024220766515,0.161645463652831,0.561671284947213,"Sub-Saharan Africa"
"Vaginal discharge","BV",1987,"Lower, moderate, and higher",0.464784084391752,0.206137580256546,0.743868215510786,"Sub-Saharan Africa"
"Vaginal discharge","BV",1987,"Lower and moderate",0.51766172060285,0.275935917849677,0.751394557353616,"Sub-Saharan Africa"
"Vaginal discharge","BV",1987,"Lower only",0.335240149512704,0.170532898462995,0.552974883308718,"Sub-Saharan Africa"
"Vaginal discharge","BV",1988,"Lower, moderate, and higher",0.466050800289344,0.215414473692741,0.735085465067183,"Sub-Saharan Africa"
"Vaginal discharge","BV",1988,"Lower and moderate",0.514862929125571,0.282220456691815,0.741237882037351,"Sub-Saharan Africa"
"Vaginal discharge","BV",1988,"Lower only",0.33847144364534,0.17964535912748,0.544513140258998,"Sub-Saharan Africa"
"Vaginal discharge","BV",1989,"Lower, moderate, and higher",0.467317954147403,0.224877409518996,0.726241468009796,"Sub-Saharan Africa"
"Vaginal discharge","BV",1989,"Lower and moderate",0.512063205115565,0.288418210326589,0.730980554096351,"Sub-Saharan Africa"
"Vaginal discharge","BV",1989,"Lower only",0.341717873081576,0.188937634512003,0.536343711184087,"Sub-Saharan Africa"
"Vaginal discharge","BV",1990,"Lower, moderate, and higher",0.468585529762104,0.234498472875652,0.717366304786736,"Sub-Saharan Africa"
"Vaginal discharge","BV",1990,"Lower and moderate",0.509262724005224,0.294495937469559,0.720663988167678,"Sub-Saharan Africa"
"Vaginal discharge","BV",1990,"Lower only",0.344979202396644,0.198351345321083,0.528535155995216,"Sub-Saharan Africa"
"Vaginal discharge","BV",1991,"Lower, moderate, and higher",0.469853510907898,0.244244084284459,0.708494949514663,"Sub-Saharan Africa"
"Vaginal discharge","BV",1991,"Lower and moderate",0.506461661416942,0.300415411713154,0.710336039815313,"Sub-Saharan Africa"
"Vaginal discharge","BV",1991,"Lower only",0.348255190868113,0.207812275046246,0.521169362588529,"Sub-Saharan Africa"
"Vaginal discharge","BV",1992,"Lower, moderate, and higher",0.471121881338339,0.254074198893124,0.699668006693272,"Sub-Saharan Africa"
"Vaginal discharge","BV",1992,"Lower and moderate",0.503660193119094,0.306132864568328,0.700051551765405,"Sub-Saharan Africa"
"Vaginal discharge","BV",1992,"Lower only",0.351545592523878,0.217227446639865,0.514344226862891,"Sub-Saharan Africa"
"Vaginal discharge","BV",1993,"Lower, moderate, and higher",0.472390624786908,0.263941418030915,0.69093254155833,"Sub-Saharan Africa"
"Vaginal discharge","BV",1993,"Lower and moderate",0.500858494981933,0.311598530404179,0.689872772437561,"Sub-Saharan Africa"
"Vaginal discharge","BV",1993,"Lower only",0.354850156193884,0.226482249042573,0.508176282621899,"Sub-Saharan Africa"
"Vaginal discharge","BV",1994,"Lower, moderate, and higher",0.473659724967847,0.273790032567861,0.682342986158674,"Sub-Saharan Africa"
"Vaginal discharge","BV",1994,"Lower and moderate",0.49805674293344,0.316756411691384,0.67986952217954,"Sub-Saharan Africa"
"Vaginal discharge","BV",1994,"Lower only",0.358168625565593,0.235438259406242,0.502802630342,"Sub-Saharan Africa"
"Vaginal discharge","BV",1995,"Lower, moderate, and higher",0.47492916557699,0.283555042764674,0.673962078361315,"Sub-Saharan Africa"
"Vaginal discharge","BV",1995,"Lower and moderate",0.495255112915135,0.321544424009038,0.670118940406055,"Sub-Saharan Africa"
"Vaginal discharge","BV",1995,"Lower only",0.361500739243182,0.243932917654697,0.498381001491253,"Sub-Saharan Africa"
"Vaginal discharge","BV",1996,"Lower, moderate, and higher",0.476198930292594,0.293161236502565,0.665861754372836,"Sub-Saharan Africa"
"Vaginal discharge","BV",1996,"Lower and moderate",0.492453780837889,0.32589510597071,0.660704621202557,"Sub-Saharan Africa"
"Vaginal discharge","BV",1996,"Lower only",0.364846230810483,0.251782806545849,0.495086201073987,"Sub-Saharan Africa"
"Vaginal discharge","BV",1997,"Lower, moderate, and higher",0.477469002776181,0.302522456772565,0.658123867344207,"Sub-Saharan Africa"
"Vaginal discharge","BV",1997,"Lower and moderate",0.489652922537748,0.329737061963141,0.651714965175963,"Sub-Saharan Africa"
"Vaginal discharge","BV",1997,"Lower only",0.368204828897639,0.258792639432605,0.493100833041167,"Sub-Saharan Africa"
"Vaginal discharge","BV",1998,"Lower, moderate, and higher",0.478739366673369,0.311541244375739,0.650840550907648,"Sub-Saharan Africa"
"Vaginal discharge","BV",1998,"Lower and moderate",0.486852713731792,0.332997213793556,0.643240675027694,"Sub-Saharan Africa"
"Vaginal discharge","BV",1998,"Lower only",0.371576257251467,0.264771475433868,0.492598820060405,"Sub-Saharan Africa"
"Vaginal discharge","BV",1999,"Lower, moderate, and higher",0.480010005614718,0.320109089045796,0.644114000648124,"Sub-Saharan Africa"
"Vaginal discharge","BV",1999,"Lower and moderate",0.48405332997407,0.335603757609209,0.635371515949083,"Sub-Saharan Africa"
"Vaginal discharge","BV",1999,"Lower only",0.374960234809508,0.269555390507142,0.493722559513405,"Sub-Saharan Africa"
"Vaginal discharge","BV",2000,"Lower, moderate, and higher",0.481280903216567,0.328107541196089,0.638055428050181,"Sub-Saharan Africa"
"Vaginal discharge","BV",2000,"Lower and moderate",0.481254946611609,0.337489492836479,0.628192709250424,"Sub-Saharan Africa"
"Vaginal discharge","BV",2000,"Lower only",0.378356475777748,0.273031926752192,0.496558506798072,"Sub-Saharan Africa"
"Vaginal discharge","BV",2001,"Lower, moderate, and higher",0.482552043081877,0.335410411948763,0.632782963911593,"Sub-Saharan Africa"
"Vaginal discharge","BV",2001,"Lower and moderate",0.478457738740543,0.338595016817982,0.621781514966906,"Sub-Saharan Africa"
"Vaginal discharge","BV",2001,"Lower only",0.381764689711962,0.275158240557293,0.501119390739554,"Sub-Saharan Africa"
"Vaginal discharge","BV",2002,"Lower, moderate, and higher",0.483823408801078,0.341887232835526,0.628418337726569,"Sub-Saharan Africa"
"Vaginal discharge","BV",2002,"Lower and moderate",0.475661881162369,0.338871295415998,0.616204542724967,"Sub-Saharan Africa"
"Vaginal discharge","BV",2002,"Lower only",0.385184581602676,0.275965428227915,0.507340639682707,"Sub-Saharan Africa"
"Vaginal discharge","BV",2003,"Lower, moderate, and higher",0.485094983952912,0.347408108234966,0.625082185813911,"Sub-Saharan Africa"
"Vaginal discharge","BV",2003,"Lower and moderate",0.472867548340362,0.338281379570665,0.611516048763294,"Sub-Saharan Africa"
"Vaginal discharge","BV",2003,"Lower only",0.38861585196368,0.275547203994362,0.515092750020319,"Sub-Saharan Africa"
"Vaginal discharge","BV",2004,"Lower, moderate, and higher",0.486366752105282,0.351850114551893,0.622887806095766,"Sub-Saharan Africa"
"Vaginal discharge","BV",2004,"Lower and moderate",0.470074914356174,0.336801423498211,0.607757051075335,"Sub-Saharan Africa"
"Vaginal discharge","BV",2004,"Lower only",0.392058196924073,0.27403822387672,0.524204073856991,"Sub-Saharan Africa"
"Vaginal discharge","BV",2005,"Lower, moderate, and higher",0.487638696816099,0.355105391920292,0.621933178552555,"Sub-Saharan Africa"
"Vaginal discharge","BV",2005,"Lower and moderate",0.467284152866627,0.334421423888376,0.604954787989686,"Sub-Saharan Africa"
"Vaginal discharge","BV",2005,"Lower only",0.395511308323782,0.271590575478752,0.53448526799499,"Sub-Saharan Africa"
"Vaginal discharge","BV",2006,"Lower, moderate, and higher",0.48891080163413,0.357090739996331,0.622291414508634,"Sub-Saharan Africa"
"Vaginal discharge","BV",2006,"Lower and moderate",0.464495437060741,0.331146042059911,0.603122077419265,"Sub-Saharan Africa"
"Vaginal discharge","BV",2006,"Lower only",0.398974873812509,0.268354988412934,0.545748727187032,"Sub-Saharan Africa"
"Vaginal discharge","BV",2007,"Lower, moderate, and higher",0.490183050099852,0.357757582293941,0.624000774119894,"Sub-Saharan Africa"
"Vaginal discharge","BV",2007,"Lower and moderate",0.461708939617001,0.326995515891891,0.60225649335336,"Sub-Saharan Africa"
"Vaginal discharge","BV",2007,"Lower only",0.40244857695204,0.264469174430974,0.557820599220995,"Sub-Saharan Africa"
"Vaginal discharge","BV",2008,"Lower, moderate, and higher",0.491455425746297,0.357099879849632,0.627056709503011,"Sub-Saharan Africa"
"Vaginal discharge","BV",2008,"Lower and moderate",0.4589248326609,0.322006265151895,0.602339709989417,"Sub-Saharan Africa"
"Vaginal discharge","BV",2008,"Lower only",0.405932097321875,0.260052569247077,0.570546177045355,"Sub-Saharan Africa"
"Vaginal discharge","BV",2009,"Lower, moderate, and higher",0.492727912099912,0.355157042533105,0.631408938956807,"Sub-Saharan Africa"
"Vaginal discharge","BV",2009,"Lower and moderate",0.456143287722776,0.316230634598438,0.603337564025356,"Sub-Saharan Africa"
"Vaginal discharge","BV",2009,"Lower only",0.409425110628094,0.255205547772711,0.583790658262498,"Sub-Saharan Africa"
"Vaginal discharge","BV",2010,"Lower, moderate, and higher",0.494000492681404,0.352010123850731,0.636965303859658,"Sub-Saharan Africa"
"Vaginal discharge","BV",2010,"Lower and moderate",0.453364475695952,0.309735410136131,0.605201227772105,"Sub-Saharan Africa"
"Vaginal discharge","BV",2010,"Lower only",0.412927288815398,0.250011266483408,0.597437156124321,"Sub-Saharan Africa"
"Vaginal discharge","BV",2011,"Lower, moderate, and higher",0.4952731510066,0.347772151682841,0.643601558543992,"Sub-Saharan Africa"
"Vaginal discharge","BV",2011,"Lower and moderate",0.450588566795224,0.302599130025746,0.607869516282943,"Sub-Saharan Africa"
"Vaginal discharge","BV",2011,"Lower only",0.416438300182265,0.244538773338049,0.611383358470319,"Sub-Saharan Africa"
"Vaginal discharge","BV",2012,"Lower, moderate, and higher",0.496545870587294,0.34257554447576,0.651174119877745,"Sub-Saharan Africa"
"Vaginal discharge","BV",2012,"Lower and moderate",0.4478157305157,0.294908537073373,0.611272033899611,"Sub-Saharan Africa"
"Vaginal discharge","BV",2012,"Lower only",0.419957809499112,0.238846427235939,0.625537866161843,"Sub-Saharan Africa"
"Vaginal discharge","BV",2013,"Lower, moderate, and higher",0.497818634932107,0.336559880567949,0.659532479104045,"Sub-Saharan Africa"
"Vaginal discharge","BV",2013,"Lower and moderate",0.445046135592013,0.286754645901605,0.615332738967802,"Sub-Saharan Africa"
"Vaginal discharge","BV",2013,"Lower only",0.423485478129414,0.232984907496401,0.639817052522365,"Sub-Saharan Africa"
"Vaginal discharge","BV",2014,"Lower, moderate, and higher",0.49909142754734,0.329862159948856,0.668529113745316,"Sub-Saharan Africa"
"Vaginal discharge","BV",2014,"Lower and moderate",0.442279949957939,0.278228882468888,0.619973517108022,"Sub-Saharan Africa"
"Vaginal discharge","BV",2014,"Lower only",0.427020964153673,0.226999324698916,0.654143056668596,"Sub-Saharan Africa"
"Vaginal discharge","BV",2015,"Lower, moderate, and higher",0.500364231937828,0.322610275987436,0.678026167956411,"Sub-Saharan Africa"
"Vaginal discharge","BV",2015,"Lower and moderate",0.439517340706426,0.269419684964488,0.625117403095634,"Sub-Saharan Africa"
"Vaginal discharge","BV",2015,"Lower only",0.430563922496154,0.220930295993739,0.668443091387011,"Sub-Saharan Africa"
"Vaginal discharge","BV",2016,"Lower, moderate, and higher",0.501637031607794,0.314919442181405,0.687899149252993,"Sub-Saharan Africa"
"Vaginal discharge","BV",2016,"Lower and moderate",0.436758474050066,0.260409855616543,0.630691162723082,"Sub-Saharan Africa"
"Vaginal discharge","BV",2016,"Lower only",0.434114005054296,0.214814229795823,0.682649742675045,"Sub-Saharan Africa"
"Vaginal discharge","BV",2017,"Lower, moderate, and higher",0.502909810061707,0.306890886798167,0.698038327318929,"Sub-Saharan Africa"
"Vaginal discharge","BV",2017,"Lower and moderate",0.434003515282022,0.251274805273415,0.636627069138031,"Sub-Saharan Africa"
"Vaginal discharge","BV",2017,"Lower only",0.437670860830691,0.20868325941343,0.6967016693661,"Sub-Saharan Africa"
"Vaginal discharge","BV",2018,"Lower, moderate, and higher",0.504182550805138,0.298612055538539,0.708348597295273,"Sub-Saharan Africa"
"Vaginal discharge","BV",2018,"Lower and moderate",0.431252628737429,0.242081663221605,0.642863867701722,"Sub-Saharan Africa"
"Vaginal discharge","BV",2018,"Lower only",0.441234136067545,0.202565195973089,0.710544195831892,"Sub-Saharan Africa"
"Vaginal discharge","BV",2019,"Lower, moderate, and higher",0.505455237345609,0.290157672219917,0.718748461903992,"Sub-Saharan Africa"
"Vaginal discharge","BV",2019,"Lower and moderate",0.428505977755296,0.232889093975302,0.649347058561131,"Sub-Saharan Africa"
"Vaginal discharge","BV",2019,"Lower only",0.444803474383497,0.196483668908494,0.724129561195779,"Sub-Saharan Africa"
"Vaginal discharge","BV",2020,"Lower, moderate, and higher",0.506727853193453,0.281591182997755,0.729168611233289,"Sub-Saharan Africa"
