"variable","estimate"
"CT","0.24 (0.17-0.33) ***"
"MG","0.05 (0.04-0.08) ***"
"NG","2.71 (2.02-3.63) ***"
"None","0.10 (0.07-0.15) ***"
"TV","0.04 (0.03-0.06) ***"
"CT:year","1.03 (1.00-1.05) *"
"MG:year","0.95 (0.92-0.99) *"
"NG:year","1.02 (1.00-1.04) *"
"None:year","0.95 (0.92-0.98) **"
"TV:year","0.96 (0.94-0.99) **"
