"variable","estimate"
"BV","0.83 (0.20-3.41) "
"CS","2.32 (0.45-12.06) "
"CT","0.07 (0.02-0.30) ***"
"MG","0.04 (0.01-0.18) ***"
"NG","0.05 (0.01-0.22) ***"
"None","0.52 (0.10-2.75) "
"TV","0.07 (0.02-0.30) ***"
"BV:year","1.02 (0.95-1.09) "
"CS:year","1.07 (0.99-1.16) "
"CT:year","0.97 (0.92-1.03) "
"MG:year","0.97 (0.88-1.06) "
"NG:year","0.95 (0.90-1.01) "
"None:year","1.04 (0.97-1.12) "
"TV:year","0.90 (0.85-0.96) ***"
