"variable","estimate"
"CT","0.30 (0.21-0.43) ***"
"MG","0.06 (0.04-0.09) ***"
"NG","4.16 (3.01-5.74) ***"
"None","0.11 (0.08-0.16) ***"
"TV","0.03 (0.02-0.04) ***"
"CT:year","1.03 (0.99-1.06) "
"MG:year","0.95 (0.91-1.00) *"
"NG:year","1.02 (0.99-1.05) "
"None:year","0.96 (0.91-1.00) "
"TV:year","0.92 (0.89-0.95) ***"
