"variable","estimate"
"CT","0.31 (0.22-0.42) ***"
"MG","0.06 (0.04-0.08) ***"
"NG","4.12 (2.90-5.84) ***"
"None","0.11 (0.07-0.16) ***"
"TV","0.02 (0.02-0.04) ***"
"CT:year","1.03 (1.00-1.06) "
"MG:year","0.94 (0.91-0.98) **"
"NG:year","1.04 (1.01-1.08) **"
"None:year","0.97 (0.92-1.01) "
"TV:year","0.91 (0.88-0.94) ***"
