"variable","estimate"
"HD","0.01 (0.01-0.02) ***"
"HSV","1.65 (1.05-2.58) *"
"HSV-1","0.01 (0.01-0.02) ***"
"HSV-2","1.11 (0.81-1.52) "
"LGV","0.02 (0.01-0.03) ***"
"None","0.54 (0.41-0.71) ***"
"TP","0.10 (0.07-0.13) ***"
"HD:year","0.83 (0.81-0.85) ***"
"HSV:year","1.09 (1.07-1.11) ***"
"HSV-1:year","0.98 (0.93-1.04) "
"HSV-2:year","1.02 (0.99-1.05) "
"LGV:year","0.92 (0.89-0.95) ***"
"None:year","1.02 (1.01-1.04) **"
"TP:year","0.97 (0.96-0.99) ***"
