"variable","estimate"
"HD","0.01 (0.01-0.02) ***"
"HSV","1.60 (1.02-2.49) *"
"HSV-1","0.01 (0.01-0.02) ***"
"HSV-2","1.09 (0.80-1.50) "
"LGV","0.02 (0.01-0.03) ***"
"None","0.54 (0.41-0.72) ***"
"TP","0.10 (0.08-0.14) ***"
"HD:year","0.82 (0.80-0.84) ***"
"HSV:year","1.08 (1.05-1.11) ***"
"HSV-1:year","0.99 (0.93-1.04) "
"HSV-2:year","1.02 (0.99-1.05) "
"LGV:year","0.90 (0.86-0.94) ***"
"None:year","1.02 (1.00-1.04) "
"TP:year","0.98 (0.96-1.00) "
