"variable","estimate"
"CT","0.29 (0.20-0.42) ***"
"MG","0.06 (0.04-0.09) ***"
"NG","3.80 (2.70-5.35) ***"
"None","0.11 (0.07-0.17) ***"
"TV","0.03 (0.02-0.04) ***"
"CT:year","1.02 (0.99-1.06) "
"MG:year","0.95 (0.91-1.00) *"
"NG:year","1.02 (1.00-1.04) "
"None:year","0.95 (0.91-0.99) *"
"TV:year","0.93 (0.90-0.95) ***"
